id,date,error,region,calcurve,Period,Site,Feature
gw137,2850,40,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 7
gw138,2820,40,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 8
gw139,2930,40,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 9
gw102,2820,40,Gangwon,intcal13,Mumun,Chuncheon Geodujigu,1
gw103,2532,22,Gangwon,intcal13,Mumun,Chuncheon Geodujigu,2
gw104,2760,70,Gangwon,intcal13,Mumun,Chuncheon Geodujigu,3
gw97,2890,50,Gangwon,intcal13,Mumun,Chuncheon Geoduri,1
gw100,2520,40,Gangwon,intcal13,Mumun,Chuncheon Geoduri,12
gw101,2480,40,Gangwon,intcal13,Mumun,Chuncheon Geoduri,14
gw98,2870,40,Gangwon,intcal13,Mumun,Chuncheon Geoduri,17
gw99,2940,40,Gangwon,intcal13,Mumun,Chuncheon Geoduri,19
gw200,2550,50,Gangwon,intcal13,Mumun,Chuncheon Geoduri 779-1,1
gw201,2910,50,Gangwon,intcal13,Mumun,Chuncheon Geoduri 779-1,2
gw202,2840,50,Gangwon,intcal13,Mumun,Chuncheon Geoduri 779-1,4
gw203,2830,50,Gangwon,intcal13,Mumun,Chuncheon Geoduri 779-1,5
gw205,2881,18,Gangwon,intcal13,Mumun,Chuncheon Geumsanri,A-Mumun 1
gw206,2847,21,Gangwon,intcal13,Mumun,Chuncheon Geumsanri,A-Mumun 2
gw207,2835,24,Gangwon,intcal13,Mumun,Chuncheon Geumsanri,B-Mumun 1
gw211,2735,23,Gangwon,intcal13,Mumun,Chuncheon Geumsanri,B-Mumun 15
gw212,2794,23,Gangwon,intcal13,Mumun,Chuncheon Geumsanri,B-Mumun 16
gw208,2936,18,Gangwon,intcal13,Mumun,Chuncheon Geumsanri,B-Mumun 4
gw209,2724,21,Gangwon,intcal13,Mumun,Chuncheon Geumsanri,B-Mumun 7
gw210,2730,19,Gangwon,intcal13,Mumun,Chuncheon Geumsanri,B-Mumun 8
gw156,3020,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 1
gw149,2800,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 13
gw150,2750,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 14
gw148,2330,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 15
gw146,2380,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 18
gw153,2390,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 31
gw151,2760,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 36
gw152,2650,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 37
gw141,2390,50,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 43
gw142,2410,50,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 44
gw144,2490,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 45
gw143,2480,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 46
gw155,2610,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 48
gw140,2690,50,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 49
gw154,2720,40,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 51
gw145,2660,50,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 7
gw147,2700,50,Gangwon,intcal13,Mumun,Chuncheon Hyeonamri,Mumun 9
gw118,2450,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,10
gw119,2490,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,13
gw120,2530,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,14
gw121,2460,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,16
gw112,2380,50,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,2
gw122,2550,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,26
gw123,2590,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,27
gw124,2520,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,29
gw113,2470,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,3
gw114,2430,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,4
gw115,2420,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,5
gw116,2400,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,8
gw117,2430,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong,9
gw288,2360,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 10
gw290,3040,50,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 21
gw287,2410,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 23
gw286,2650,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 25
gw284,2750,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 28
gw291,2936,29,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 28
gw296,2519,32,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 32
gw298,2480,50,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 34
gw297,2530,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 35
gw292,2395,36,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 36
gw294,2601,29,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 39
gw295,2519,32,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 41
gw293,2485,29,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 42
gw299,2410,60,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 47
gw300,2610,50,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 51
gw301,2753,32,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 61
gw302,2753,32,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 62
gw303,2570,50,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 63
gw304,3030,29,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 64
gw289,2530,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 7
gw307,2410,60,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 77
gw305,2540,50,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 79
gw306,2520,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 83
gw308,2520,50,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 86
gw283,2660,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 9
gw285,2930,40,Gangwon,intcal13,Mumun,Chuncheon Jungdodong D-E,no 9-1
gw400,2930,60,Gangwon,intcal13,Mumun,Chuncheon Naepyungri,pit house
gw107,3026,36,Gangwon,intcal13,Mumun,Chuncheon Sinmaedaegyo,no 17
gw108,2930,36,Gangwon,intcal13,Mumun,Chuncheon Sinmaedaegyo,no 18
gw109,2625,36,Gangwon,intcal13,Mumun,Chuncheon Sinmaedaegyo,no 27
gw105,2745,25,Gangwon,intcal13,Mumun,Chuncheon Songamdong,Mumun 1
gw106,2485,20,Gangwon,intcal13,Mumun,Chuncheon Songamdong,Mumun 3
gw110,2460,60,Gangwon,intcal13,Mumun,Chuncheon Yulmunri 335-4,Mumun 2
gw111,2570,50,Gangwon,intcal13,Mumun,Chuncheon Yulmunri 335-4,Mumun 9
hn210,2990,60,Honam,intcal13,Mumun,Daeanri Bangdoo,pit house
gg87,2650,50,Gyeonggi,intcal13,Mumun,Daedukgol,no 2
gg88,2880,80,Gyeonggi,intcal13,Mumun,Daedukgol,no 3
gg89,2920,80,Gyeonggi,intcal13,Mumun,Daedukgol,no 4
yn7,2980,29,Yeongnam,intcal13,Mumun,Daegu Bongmoodong 5,no 2
yn8,2755,43,Yeongnam,intcal13,Mumun,Daegu Bongmoodong 5,no 3
yn5,3030,50,Yeongnam,intcal13,Mumun,Daegu Daecheondong 511-2,no 10
yn6,3000,50,Yeongnam,intcal13,Mumun,Daegu Daecheondong 511-2,no 16
yn1,2650,40,Yeongnam,intcal13,Mumun,Daegu Donghodong,no 1
yn9,2985,36,Yeongnam,intcal13,Mumun,Daegu Donghodong 181,no 5
yn17,2570,40,Yeongnam,intcal13,Mumun,Daegu Donghodong Settlement,no 20
yn2,2860,50,Yeongnam,intcal13,Mumun,Daegu Maecheondong,no 3
yn3,2865,36,Yeongnam,intcal13,Mumun,Daegu Maecheondong,no 5
yn4,2822,28,Yeongnam,intcal13,Mumun,Daegu Maecheondong,no 6
yn23,3170,50,Yeongnam,intcal13,Mumun,Daegu Sangdong 552-8,no 1
yn24,3075,39,Yeongnam,intcal13,Mumun,Daegu Sangdong 552-8,no 2
yn558,2750,50,Yeongnam,intcal13,Mumun,Daegu Sangindong 119-20,no 2
yn559,2640,50,Yeongnam,intcal13,Mumun,Daegu Sangindong 119-20,no 4
yn560,2710,50,Yeongnam,intcal13,Mumun,Daegu Sangindong 119-20,no 5
yn19,3070,50,Yeongnam,intcal13,Mumun,Daegu Sangindong 98-1,no 1
yn20,2740,50,Yeongnam,intcal13,Mumun,Daegu Sangindong 98-1,no 3
yn21,2820,50,Yeongnam,intcal13,Mumun,Daegu Sangindong 98-1,no 4
yn22,3140,50,Yeongnam,intcal13,Mumun,Daegu Sangindong 98-1,no 5
yn13,2920,60,Yeongnam,intcal13,Mumun,Daegu Seobyeondong Settlement,no 1
yn14,2710,80,Yeongnam,intcal13,Mumun,Daegu Seobyeondong Settlement,no 25
yn15,2986,39,Yeongnam,intcal13,Mumun,Daegu Seobyeondong Settlement,no 27
yn16,2690,40,Yeongnam,intcal13,Mumun,Daegu Seobyeondong Settlement,no 32
yn25,2570,70,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 1275,no 1
yn28,2440,50,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 1275,no 14
yn29,3100,60,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 1275,no 15
yn30,2920,80,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 1275,no 16
yn31,2460,50,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 1275,no 17
yn26,2950,80,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 1275,no 3
yn27,2970,40,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 1275,no 5
yn12,2818,39,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 498 3,Zone III pit house
yn10,2680,40,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 585,no 1
yn11,2730,50,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 585,no 4
yn33,3050,50,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 591,no 3
yn32,2870,50,Yeongnam,intcal13,Mumun,Daegu Wolsungdong 591,no 7
cc102,3000,50,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 11
cc103,2770,50,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 14
cc104,2780,50,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 15
cc105,3100,36,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 17
cc106,2821,36,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 18
cc107,2690,50,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 21
cc98,2510,50,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 3
cc99,2870,50,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 5
cc100,2710,40,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 7
cc101,2601,29,Chungcheong,intcal13,Mumun,Daejeon Bangdongteul,no 9
cc170,2698,34,Chungcheong,intcal13,Mumun,Daejeon Gaodong,no 1
cc171,2630,30,Chungcheong,intcal13,Mumun,Daejeon Gaodong,no 2
cc40,2750,40,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 11
cc41,2840,40,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 14
cc42,2850,29,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 15
cc43,2840,40,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 16
cc44,2880,50,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 17
cc45,2910,40,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 20
cc46,2830,40,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 21
cc37,2856,25,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 6
cc38,2850,50,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 7
cc39,2889,21,Chungcheong,intcal13,Mumun,Daejeon Gwanjeodong,no 8
cc169,2650,40,Chungcheong,intcal13,Mumun,Daejeon Gwanpyungdong,I-2
neo152,4344,29,Chungcheong,intcal13,Chulmun,Daejeon Gwanpyungdong,I-2-1
cc155,2550,40,Chungcheong,intcal13,Mumun,Daejeon Jaoondong,II-1
cc156,2510,40,Chungcheong,intcal13,Mumun,Daejeon Jaoondong,II-2
cc157,2480,90,Chungcheong,intcal13,Mumun,Daejeon Jaoondong,II-3
cc158,2570,70,Chungcheong,intcal13,Mumun,Daejeon Jaoondong,II-4
cc444,2370,55,Chungcheong,intcal13,Mumun,Daejeon Noeundong,A-1-1
cc355,2840,40,Chungcheong,intcal13,Mumun,Daejeon Sangdaedong 1,Mumun rectangular 5
cc356,2890,40,Chungcheong,intcal13,Mumun,Daejeon Sangdaedong 1,Mumun rectangular 8
cc357,2474,32,Chungcheong,intcal13,Mumun,Daejeon Sangdaedong 1,Mumun Songgukri type 1
cc358,2535,29,Chungcheong,intcal13,Mumun,Daejeon Sangdaedong 1,Mumun Songgukri type 5
cc336,2303,36,Chungcheong,intcal13,Mumun,Daejeon Sangseodong,no 4
cc338,2510,39,Chungcheong,intcal13,Mumun,Daejeon Sangseodong,no 5
cc337,2859,26,Chungcheong,intcal13,Mumun,Daejeon Sangseodong,no 8
cc125,2920,50,Chungcheong,intcal13,Mumun,Daejeon Wonsinheungdong Deolegui,no 1
cc126,2840,50,Chungcheong,intcal13,Mumun,Daejeon Wonsinheungdong Deolegui,no 2
cc127,2820,50,Chungcheong,intcal13,Mumun,Daejeon Wonsinheungdong Deolegui,no 4
cc129,2450,50,Chungcheong,intcal13,Mumun,Daejeon Wonsinheungdong Deolegui,no 7
cc128,2510,50,Chungcheong,intcal13,Mumun,Daejeon Wonsinheungdong Deolegui,no 8
cc172,3030,50,Chungcheong,intcal13,Mumun,Daejeon Yonggyedong,Mumun 1
cc173,2879,27,Chungcheong,intcal13,Mumun,Daejeon Yonggyedong,Mumun 2
cc174,2920,50,Chungcheong,intcal13,Mumun,Daejeon Yonggyedong,Mumun 3
cc175,2820,40,Chungcheong,intcal13,Mumun,Daejeon Yonggyedong,Mumun 4
cc188,2890,60,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-1
cc195,2880,50,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-12
cc196,3060,80,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-14
cc189,2940,50,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-2
cc190,2810,60,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-3
cc191,2845,43,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-4
cc192,2880,43,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-5
cc193,2560,60,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-6
cc194,2720,50,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",II-7
cc197,2970,80,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",IV-1
cc198,2810,31,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",IV-2
cc199,2860,60,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",IV-5
cc200,2790,60,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",V-1
cc201,2800,60,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",VI-10
cc202,2730,43,Chungcheong,intcal13,Mumun,"Daejeon Yongsan, Taplipdong",VI-12
cc26,2440,40,Chungcheong,intcal13,Mumun,Daejungdong,I-2 KC-004
cc27,2418,29,Chungcheong,intcal13,Mumun,Daejungdong,I-2 KC-005
yn561,2260,50,Yeongnam,intcal13,Mumun,Dalsung Daeilri 325,no 1
hn64,2980,50,Honam,intcal13,Mumun,Damyang Taemokri 2,Mumun 1
hn65,2960,50,Honam,intcal13,Mumun,Damyang Taemokri 2,Mumun 3
cc146,2580,24,Chungcheong,intcal13,Mumun,Dangjin Jagaeri 1,no 32
cc147,2520,40,Chungcheong,intcal13,Mumun,Dangjin Jagaeri 1,no 34
cc148,2637,29,Chungcheong,intcal13,Mumun,Dangjin Jagaeri 1,no 36
cc220,2736,43,Chungcheong,intcal13,Mumun,Dangjin Jagaeri 2 ,no 16
cc221,2710,60,Chungcheong,intcal13,Mumun,Dangjin Jagaeri 2 ,no 19
cc219,2737,34,Chungcheong,intcal13,Mumun,Dangjin Jagaeri 2 ,no 2
cc87,2810,50,Chungcheong,intcal13,Mumun,Dangjin Seokuri Sosori,I-A-2
cc88,2770,50,Chungcheong,intcal13,Mumun,Dangjin Seokuri Sosori,I-A-3
cc89,2820,40,Chungcheong,intcal13,Mumun,Dangjin Seokuri Sosori,I-B-1
neo150,4376,32,Chungcheong,intcal13,Chulmun,Dangjin Seokuri Sosori,II-1-A-1
cc90,2680,40,Chungcheong,intcal13,Mumun,Dangjin Seokuri Sosori,II-1-B-1
cc91,2880,50,Chungcheong,intcal13,Mumun,Dangjin Seokuri Sosori,II-2-A-1
cc458,2810,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 16
cc459,2750,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 18
cc460,2840,50,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 21
cc461,2894,29,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 24
cc462,2890,50,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 30
cc463,2914,29,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 37
cc454,2846,29,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 4
cc453,2840,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 5
cc455,2800,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 6
cc456,2805,29,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 8
cc457,2890,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri 3-1,no 9
cc464,2820,50,Chungcheong,intcal13,Mumun,Dangjin Seongsanri Tongjungri Samhwari,no 1
cc466,2740,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri Tongjungri Samhwari,no 15
cc467,2810,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri Tongjungri Samhwari,no 20
cc468,2820,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri Tongjungri Samhwari,no 26
cc469,2770,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri Tongjungri Samhwari,no 33
cc470,2770,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri Tongjungri Samhwari,no 38
cc471,2770,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri Tongjungri Samhwari,no 42
cc465,2880,40,Chungcheong,intcal13,Mumun,Dangjin Seongsanri Tongjungri Samhwari,no 9
cc476,2970,40,Chungcheong,intcal13,Mumun,Dangjin Tongjungri,I-1-3
cc477,2945,29,Chungcheong,intcal13,Mumun,Dangjin Tongjungri,I-2-1
cc86,2848,25,Chungcheong,intcal13,Mumun,Dangjin Udoori,no 1
gw41,2725,25,Gangwon,intcal13,Mumun,Donghae Hyogadong,no 1
gw42,2850,25,Gangwon,intcal13,Mumun,Donghae Hyogadong,no 2
gw43,2860,20,Gangwon,intcal13,Mumun,Donghae Hyogadong,no 3
yn541,2750,30,Yeongnam,intcal13,Mumun,Dongrae Oncheondong 2,pit house
cc16,2320,40,Chungcheong,intcal13,Mumun,Dosamri,KC-002
cc17,2600,30,Chungcheong,intcal13,Mumun,Dosamri,KC-003
cc18,2440,40,Chungcheong,intcal13,Mumun,Dosamri,KC-006
cc19,2380,40,Chungcheong,intcal13,Mumun,Dosamri,KC-007
cc20,2360,60,Chungcheong,intcal13,Mumun,Dosamri,KC-010
cc21,2450,40,Chungcheong,intcal13,Mumun,Dosamri,KC-012
cc22,2450,40,Chungcheong,intcal13,Mumun,Dosamri,KC-015
cc23,2610,40,Chungcheong,intcal13,Mumun,Dosamri,KC-016
cc24,2650,60,Chungcheong,intcal13,Mumun,Dosamri,KC-023
cc25,2670,40,Chungcheong,intcal13,Mumun,Dosamri,KC-024
neo147,4426,39,Chungcheong,intcal13,Chulmun,Eumseong Geumseokri,pit house
cc225,2644,24,Chungcheong,intcal13,Mumun,Eumseong Hadangri,pit house 6
neo156,3370,70,Chungcheong,intcal13,Chulmun,Eumseong Hadangri,pit house 6-1
cc131,2640,60,Chungcheong,intcal13,Mumun,Gadjaegol,Mumun 6
neo158,4535,29,Honam,intcal13,Chulmun,Galmeori,no 1
neo157,4621,57,Honam,intcal13,Chulmun,Galmeori,no 2
gw19,2450,60,Gangwon,intcal13,Mumun,Gangneung Bangdongri,A-10
gw20,2440,40,Gangwon,intcal13,Mumun,Gangneung Bangdongri,A-2
gw21,2825,25,Gangwon,intcal13,Mumun,Gangneung Bangdongri,Mumun 1
gw6,3100,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 1
gw1,2760,60,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 10
gw2,2920,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 11
gw3,2850,60,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 13
gw4,2790,60,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 14
gw5,2780,60,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 15
gw7,2740,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 2
gw17,2930,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 3
gw8,2800,60,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 3
gw18,2500,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 4
gw9,2890,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 4
gw10,2890,60,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 5
gw11,2960,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 6
gw12,2910,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 7
gw13,2750,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 8
gw14,2760,50,Gangwon,intcal13,Mumun,Gangneung Bangnaeri,no 9
gw23,3390,60,Gangwon,intcal13,Mumun,Gangneung Gyodong,no 1
gw24,3100,50,Gangwon,intcal13,Mumun,Gangneung Gyodong,no 2
gw25,3230,50,Gangwon,intcal13,Mumun,Gangneung Gyodong,no 3
gw22,2460,20,Gangwon,intcal13,Mumun,Gangneung Hoisandong,Mumun 1
gg13,2805,20,Gyeonggi,intcal13,Mumun,Gapyung Daesungri,Mumun 18
gg14,2945,20,Gyeonggi,intcal13,Mumun,Gapyung Daesungri,Mumun 25
gg1,2500,29,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 1
gg4,2628,39,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 15
gg5,2556,32,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 18
gg6,2574,36,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 19
gg7,2360,30,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 22
gg8,2430,40,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 25
gg9,2528,21,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 35
gg10,3110,60,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 36
gg11,2557,29,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 37
gg12,3140,60,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 39
gg2,2494,31,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 8
gg3,2530,80,Gyeonggi,intcal13,Mumun,Gapyung Daljeonri,no 9
gg15,3050,29,Gyeonggi,intcal13,Mumun,Gapyung Yeonhari,A-Da no 1
cc475,2520,40,Chungcheong,intcal13,Mumun,Geumsan Majeonri,no 10
cc472,2470,40,Chungcheong,intcal13,Mumun,Geumsan Majeonri,no 4
cc473,2580,40,Chungcheong,intcal13,Mumun,Geumsan Majeonri,no 5
cc474,2510,40,Chungcheong,intcal13,Mumun,Geumsan Majeonri,no 7
cc79,2927,35,Chungcheong,intcal13,Mumun,Geumsan Sudangri,no 3
cc80,2970,60,Chungcheong,intcal13,Mumun,Geumsan Sudangri,no 4
neo131,4220,50,Yeongnam,intcal13,Chulmun,Gimcheon Jijaeri,Chulmun 4
yn580,2440,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 2
yn586,2460,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 20
yn587,2680,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 24
yn581,2520,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 29
yn588,2570,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 57
yn589,2370,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 58
yn582,2540,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 60
yn583,2380,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 62
yn585,2720,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 73
yn584,2530,50,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 84
yn579,2460,40,Yeongnam,intcal13,Mumun,Gimcheon Jijaeri,Mumun 99
neo130,4380,60,Yeongnam,intcal13,Chulmun,Gimcheon Songjukri 1,Chulmun 3
neo132,3990,70,Yeongnam,intcal13,Chulmun,Gimcheon Songjukri 1,Chulmun 6
yn438,2590,80,Yeongnam,intcal13,Mumun,Gimhae Gusandong,22-Oct
yn437,2460,80,Yeongnam,intcal13,Mumun,Gimhae Gusandong,A-321
yn293,2605,20,Yeongnam,intcal13,Mumun,Gimhae Yeoraeri,pit house 1
hn96,2430,50,Honam,intcal13,Mumun,Gimje Geomsandong,no 1
hn97,2494,41,Honam,intcal13,Mumun,Gimje Geomsandong,no 2
hn150,2430,50,Honam,intcal13,Mumun,Gimje Yangcheongri,no 1
gg85,2805,25,Gyeonggi,intcal13,Mumun,Gimpo Masong,II-2-2
gg77,2745,25,Gyeonggi,intcal13,Mumun,Gimpo Unyangdong 1,I-11-1
gg78,2800,25,Gyeonggi,intcal13,Mumun,Gimpo Unyangdong 1,I-11-5
gg82,2870,25,Gyeonggi,intcal13,Mumun,Gimpo Unyangdong 2,II-10-1-6
gg83,2915,25,Gyeonggi,intcal13,Mumun,Gimpo Unyangdong 2,II-10-1-7
gg84,2905,25,Gyeonggi,intcal13,Mumun,Gimpo Unyangdong 2,II-10-1-9
